id,niqqudless,stressed,phrase,ind
82,גרושים,גר֫ושים,הוא מכר את הספרים הישנים שלו בגרושים.,2
83,גרושים,גר֫ושים,"קיבלתי תוספת של גרושים בתלוש, זה אפילו לא מורגש.",3
84,גרושים,גר֫ושים,לא משתלם לעבוד שעות נוספות בשביל גרושים.,4
85,גרושים,גר֫ושים,הוא בזבז את זמנו ואת כישרונו בשביל כמה גרושים.,5
86,גרושים,גר֫ושים,בשכונה הזו משכירים חדרים בגרושים יחסית למרכז העיר.,6
87,גרושים,גר֫ושים,השקענו הרבה זמן כדי לחסוך כמה גרושים מיותרים.,7
88,גרושים,גר֫ושים,בשוק אפשר למצוא בגדים במצב מצוין ממש בגרושים.,8
89,גרושים,גר֫ושים,"לא שווה לריב איתו בשביל גרושים, תן לו כבר.",9
90,גרושים,גר֫ושים,השקענו הרבה זמן כדי לחסוך כמה גרושים מיותרים.,10
91,גרושים,גרוש֫ים,ההורים שלי גרושים כבר חמש עשרה שנה ומסתדרים היטב.,1
92,גרושים,גרוש֫ים,קבוצת התמיכה מיועדת לגרושים וגרושות שמחפשים התחלה חדשה.,2
93,גרושים,גרוש֫ים,באירוע פגשתי כמה גרושים שדיברו על החיים אחרי הנישואין.,3
94,גרושים,גרוש֫ים,"הם גרושים כבר שנתיים, אבל עדיין מתווכחים על כל דבר.",4
95,גרושים,גרוש֫ים,רוב האנשים בקורס היו גרושים בגילאי ארבעים פלוס.,5
96,גרושים,גרוש֫ים,"אחרי שהם הפכו לגרושים, כל אחד מהם פנה לכיוון שונה לגמרי.",6
97,גרושים,גרוש֫ים,הגרושים החדשים לא תמיד מבינים מה מחכה להם.,7
98,גרושים,גרוש֫ים,אנחנו גרים בשכונה עם הרבה משפחות חד־הוריות וגרושים.,8
99,גרושים,גרוש֫ים,לגרושים חדשים מומלץ לפנות לייעוץ מקצועי כדי להקל על המעבר.,9
100,גרושים,גרוש֫ים,"לגרושים האלה יש ילדים משותפים, אז הם נפגשים די הרבה.",10
101,מיני,מ֫יני,המיני-קיט שברשותי כולל את כל האביזרים הדרושים.,1
102,מיני,מ֫יני,במסעדה הגישו מיני קרואסונים חמים,2
103,מיני,מ֫יני,הם הציגו מיני-פרויקט במסגרת תערוכה מקומית.,3
104,מיני,מ֫יני,במסעדה הגישו מיני פיצות אישיות בטעמים שונים.,4
105,מיני,מ֫יני,"""מחופשים"" - מתפתחת כמיני סדרה מוצלחת בהחלט",5
106,מיני,מ֫יני,למיני־סנטר הזעיר הזה יש שירות לקוחות אישי ומדויק.,6
107,מיני,מ֫יני,"וכשהוסיפו מיני־בר בסלון, האירוח הפך לאינטימי במיוחד.",7
108,מיני,מ֫יני,היא קנתה חצאית מיני מבד ג'ינס לארוחת ערב עם חברים.,8
109,מיני,מ֫יני,המחשב החדש מגיע עם מיני מקלדת אלחוטית קטנה.,9
110,מיני,מ֫יני,היא לבשה חצאית מיני ג'ינס עם כיסים גדולים כדי לשאת את הטלפון בנוחות.,10
111,מיני,מינ֫י,השיח המיני ביניהם הפך פתוח וכנה יותר עם הזמן.,1
112,מיני,מינ֫י,הם ניהלו שיחה פתוחה על הקשר המיני שלהם.,2
113,מיני,מינ֫י,"הם שוחחו כאילו כלום לא קורה, אך מבטהם הסגירו משהו כמיני.",3
114,מיני,מינ֫י,הם שמרו על קשר מיני בריא לאורך שנים.,4
115,מיני,מינ֫י,הקשר המיני התפתח עם הזמן לחיבור עמוק יותר.,5
116,מיני,מינ֫י,"הנושא היה מיני מובהק, אך הוצג בעדינות.",6
117,מיני,מינ֫י,בין השניים התפתח מתח מיני לא מדובר.,7
118,מיני,מינ֫י,"אחרי שנים של משיכה, הקשר הפך למיני",8
119,מיני,מינ֫י,"הם בחרו להעמיק את הקשר, גם ברובד המיני.",9
120,מיני,מינ֫י,מאז אותו לילה היא הגדירה את הקשר בינהם - כמיני,10
121,כופר,כ֫ופר,החוטפים דרשו מההורים כופר בתמורה לשחרור הילד.,1
122,כופר,כ֫ופר,"כשסירב לשלם את הכופר, נשרף העסק שלו בלילה.",2
123,כופר,כ֫ופר,"על פי החשד, נדרש כופר במיליונים כדי להשיב את הציוד.",3
124,כופר,כ֫ופר,המבריחים איימו לפגוע בו אם לא יועבר הכופר עד סוף היום.,4
125,כופר,כ֫ופר,"לאחר שכופר שולם, כל הצדדים חתמו על הסכם סופי.",5
126,כופר,כ֫ופר,בית המשפט אישר את תשלום הכופר בתנאים מחמירים,6
127,כופר,כ֫ופר,הם החליטו לשלם כופר כדי למנוע עונש חמור יותר.,7
128,כופר,כ֫ופר,בכופר שנדרש היה סכום גבוה מהרגיל בתיקים מסוג זה.,8
129,כופר,כ֫ופר,לכופר שנגבה הייתה השפעה ישירה על המשך ההליכים.,9
130,כופר,כ֫ופר,"ואחרי תשלום כופר, נחתם ההסכם ונשמר בסודיות.",10
131,כופר,כופ֫ר,הם סירבו להושיב בכנסת אדם שכופר בעקרונות המדינה.,1
132,כופר,כופ֫ר,הדיון סבב סביב טענות שהועלו נגד כופר מהקהילה המקומית.,2
133,כופר,כופ֫ר,היא לא הצליחה להבין איך אפשר לדבר בשבחו של כופר מוצהר.,3
134,כופר,כופ֫ר,לכופר ניתנה הזדמנות להסביר את עמדותיו בפני המועצה.,4
135,כופר,כופ֫ר,"וכשכופר מתעקש להתבטא בפומבי, המחאה לא מאחרת לבוא.",5
136,כופר,כופ֫ר,שום ניסיון לשכנע את הכופר לא הצליח לשנות את דעתו.,6
137,כופר,כופ֫ר,"על אף שהוא נחשב לכופר, התייחסו אליו בכבוד יחסי.",7
138,כופר,כופ֫ר,הכופר המשיך להפיץ רעיונות שסתרו את המסורת המקומית.,8
139,כופר,כופ֫ר,אף אחד לא האמין שכופר ידוע יוזמן לטקס הדתי.,9
140,כופר,כופ֫ר,בדבריו של הכופר היו עקיצות כלפי הממסד הדתי.,10
141,אוכל,א֫וכל,במקרר נשאר רק אוכל מוכן מאתמול.,1
142,אוכל,א֫וכל,על שולחן העץ הונח אוכל טרי שחיממו זה עתה.,2
143,אוכל,א֫וכל,היא לא נגעה באוכל מרוב התרגשות,3
144,אוכל,א֫וכל,לארוחת הצהריים הביאו אוכל פשוט אך טעים.,4
145,אוכל,א֫וכל,במקרה הזה אסור להשאיר אוכל בחוץ יותר מדי זמן.,5
146,אוכל,א֫וכל,מעדיף אוכל פשוט ולא מתוחכם.,6
147,אוכל,א֫וכל,לילדים חולקו מנות אוכל בצבעים שונים.,7
148,אוכל,א֫וכל,"עם כל המהומה, נשכח לגמרי האוכל על הכיריים.",8
149,אוכל,א֫וכל,לא תמיד יש זמן להכין אוכל ביתי.,9
150,אוכל,א֫וכל,ההורים שמחו לראות שילדיהם נהנים מהאוכל שהכינו,10
151,אוכל,א֫וכל,מהאוכל עלו ריחות שהחזירו אותה לילדות.,11
152,אוכל,א֫וכל,מתחת לאוכל הסתתר פתק שהפתיע את כולם.,12
153,אוכל,א֫וכל,באוכל שהוזמן לא היה כמעט תיבול.,13
154,אוכל,א֫וכל,הוא מעדיף אוכל פשוט ולא מתוחכם.,14
155,אוכל,א֫וכל,בזמן ההפסקה חילקו אוכל לכל העובדים.,15
156,אוכל,א֫וכל,אחרי האימון הביאו אוכל עשיר בחלבון.,16
157,אוכל,א֫וכל,"כששאלו אותו, אמר שאוכל לא מעניין אותו בכלל.",17
158,אוכל,א֫וכל,היא סירבה לגעת באוכל שהוכן ללא רשותה.,18
159,אוכל,א֫וכל,"למרות העייפות, טרחה והכינה אוכל לכולם.",19
160,אוכל,א֫וכל,בחדר האוכל נותרו רק שאריות של אוכל מקולקל.,20
161,אוכל,אוכ֫ל,"אומר שהוא לא רעב, אבל אחר-כך אוכל את הכול.",1
162,אוכל,אוכ֫ל,"כשהוא עייף, גם אוכל פחות מהרגיל.",2
163,אוכל,אוכ֫ל,"וכשאוכל ליד אביו, הוא נזהר בכל תנועה.",3
164,אוכל,אוכ֫ל,הוא אוכל לאט כדי ליהנות מכל ביס.,4
165,אוכל,אוכ֫ל,"כשהאורחים מגיעים, מי שאוכל תמיד נהנה במיוחד.",5
166,אוכל,אוכ֫ל,שמי שאוכל לאט מצליח להרגיש כל טעם טוב יותר.,6
167,אוכל,אוכ֫ל,כי מי שאוכל ארוחת בוקר מלאה יש לו יותר אנרגיה.,7
168,אוכל,אוכ֫ל,מי שאוכל מבלי להסתכל על הצלחת לעיתים מפספס פרטים.,8
169,אוכל,אוכ֫ל,"כשהוא אוכל לבד, מרגיש שהוא יכול להתרכז בכל ביס.",9
170,אוכל,אוכ֫ל,"ולמרות ששותה ואוכל מהר, הוא מצליח לשמור על הבריאות.",10
171,אוכל,אוכ֫ל,הוא שותה ואוכל באטיות כדי ליהנות מכל רגע.,11
172,אוכל,אוכ֫ל,הוא צופה בטלוויזיה ואוכל חטיפים בלי הפסקה.,12
173,אוכל,אוכ֫ל,"הוא מתעורר מוקדם, שותה קפה ואוכל ארוחת בוקר",13
174,אוכל,אוכ֫ל,"למרות שהוא עייף, מתרכז ואוכל בשקט.",14
175,אוכל,אוכ֫ל,"כשהוא מטייל, הוא שותה ואוכל לפי הצורך.",15
176,אוכל,אוכ֫ל,"כשהוא אוכל מעט, היא לעיתים נוטה לא לאכול בכלל",16
177,אוכל,אוכ֫ל,צפו כיצד שחקן העבר מגיב כשאוכל חטיף חריף במיוחד,17
178,אוכל,אוכ֫ל,הוא מקיא בכל פעם שאוכל חריף מדי,18
179,אוכל,אוכ֫ל,הוא מקבל תגובה אלרגית מיידית כשאוכל ביצים,19
180,אוכל,אוכ֫ל,האדם הרעב מקנא באוכל,20
181,טעם,ט֫עם,לטעם של התפוח יש ניחוח מיוחד שמזכיר את הקיץ,1
182,טעם,ט֫עם,היא חיפשה טעם חדש ומרגש במנות של המסעדה,2
183,טעם,ט֫עם,הטעם המריר של הקפה הערב השאיר רושם עמוק,3
184,טעם,ט֫עם,בטעם של הרוטב יש עומק בלתי רגיל,4
185,טעם,ט֫עם,הוא חיפש טעם חדש שמאתגר את החושים,5
186,טעם,ט֫עם,לטעם המתוק היה חלק מרכזי בארוחה,6
187,טעם,ט֫עם,הם נהנו מהטעם העשיר של התבשיל,7
188,טעם,ט֫עם,טעם הפרי רענן ומזמין מאוד,8
189,טעם,ט֫עם,הטעם החריף הוסיף עניין למנה,9
190,טעם,ט֫עם,לטעם המר של הקפה יש ייחוד משלו,10
191,טעם,ט֫עם,היא לא שכחה את הטעם של העוגה מהמסעדה,11
192,טעם,ט֫עם,הטעם הייחודי גרם לה להזכר במקום רחוק,12
193,טעם,ט֫עם,הוא העריך את הטעם העדין של הרוטב,13
194,טעם,ט֫עם,לטעם המלוח יש מקום מיוחד בזיכרונותיו,14
195,טעם,ט֫עם,הם דיברו על טעם האוכל במשך שעות,15
196,טעם,ט֫עם,היא הביאה את הטעם הביתי למטבח החדש,16
197,טעם,ט֫עם,טעם האוכל הזכיר לה את המסע שהייתה בו,17
198,טעם,ט֫עם,הוא חשב על הטעם המיוחד שגילה בטיול,18
199,טעם,ט֫עם,הטעם של התבלינים התחבר היטב עם הבשר,19
200,טעם,ט֫עם,לטעם של התרופה הייתה השפעה לא נעימה על הילדים,20
201,טעם,טע֫ם,הוא טעם את המרק לפני שהוסיף תבלינים,1
202,טעם,טע֫ם,"כשטעם את הפירות, הבין שהם בשלים",2
203,טעם,טע֫ם,חיוך התפשט על פניו כשכטעם את הקינוח,3
204,טעם,טע֫ם,מי שטעם את האוכל ומעריך את האיכות,4
205,טעם,טע֫ם,הילד טעם לראשונה ממתק חריף ולא אהב את זה,5
206,טעם,טע֫ם,"כשטעם את היין, נפתחה בפניו חוויה חדשה",6
207,טעם,טע֫ם,לפני שהוסיף תבלינים טעם את המרק,7
208,טעם,טע֫ם,יש מי שטעם ומעריך את האיכות של האוכל,8
209,טעם,טע֫ם,"כשטעם את המרק, חזר לזכרונות ילדותו",9
210,טעם,טע֫ם,"כשטעם את השוקולד, לא רצה להפסיק לאכול",10
211,טעם,טע֫ם,הוא תוך כדי מחשבה טעם את התה בשקט,11
212,טעם,טע֫ם,הוא הניח את הצלחת וטעם את המנה בעונג,12
213,טעם,טע֫ם,הילד הנחית את הכף וטעם את המרק בפעם הראשונה,13
214,טעם,טע֫ם,הוא נזהר כשטעם את המנה בזהירות,14
215,טעם,טע֫ם,הוא טעם את המרק בזהירות לפני שהוסיף מלח,15
216,טעם,טע֫ם,הוא טעם את הלחם הטרי וחש נוסטלגיה נעימה,16
217,טעם,טע֫ם,"כשטעם את התה, הרגיש כיצד הרוגע נכנס לליבו",17
218,טעם,טע֫ם,"כשטעם את האוכל המסורתי, נפתח בפניו עולם חדש",18
219,טעם,טע֫ם,הוא חשב על המסע שהביא אותו הנה וטעם את המנה המקומית,19
220,טעם,טע֫ם,הוא טעם את הקפה והרגיש כיצד המרירות מתמזגת עם המתיקות,20
221,אורגנית,אורג֫נית,החקלאי סיפר שהעגבניות מגיעות מחווה אורגנית בצפון,1
222,אורגנית,אורג֫נית,במעדניה החדשה יש גבינות מתוצרת אורגנית בלבד,2
223,אורגנית,אורג֫נית,הם מחפשים דרך חיים יותר אורגנית ופחות תעשייתית,3
224,אורגנית,אורג֫נית,המסעדה מציעה תפריט המבוסס על תוצרת אורגנית מקומית,4
225,אורגנית,אורג֫נית,בחנות הזו כל המוצרים הם מחקלאות אורגנית,5
226,אורגנית,אורג֫נית,במהלך הסיור הוסבר איך יוצרים קרקע אורגנית עשירה,6
227,אורגנית,אורג֫נית,בחנות הטבע הוצגו עשרות מוצרים בתווית אורגנית,7
228,אורגנית,אורג֫נית,הגינה נבנתה בשיטה אורגנית שמשמרת את המערכת האקולוגית,8
229,אורגנית,אורג֫נית,העבודה בקבוצה זרמה בצורה אורגנית בזכות הכימיה בין המשתתפים,9
230,אורגנית,אורג֫נית,החיבור ביניהם התפתח אורגנית בלי כוונה תחילה,10
231,אורגנית,אורגנ֫ית,הילד קיבל אורגנית ליום הולדת והתחיל ללמוד לנגן,1
232,אורגנית,אורגנ֫ית,הם הביאו אורגנית קטנה כדי לנגן בשירה בציבור,2
233,אורגנית,אורגנ֫ית,האורגנית שלו חוברה לרמקול ונשמעה בכל החדר,3
234,אורגנית,אורגנ֫ית,היא כתבה שיר חדש וניגנה אותו על אורגנית,4
235,אורגנית,אורגנ֫ית,הוא אהב את הצליל החם של האורגנית הישנה,5
236,אורגנית,אורגנ֫ית,הם קנו אורגנית יד שנייה ותרגלו נגינה כל יום,6
237,אורגנית,אורגנ֫ית,האורגנית החשמלית משמשת אותו גם להקלטות,7
238,אורגנית,אורגנ֫ית,המוזיקאית עלתה לבמה עם אורגנית קטנה וניידת,8
239,אורגנית,אורגנ֫ית,המורה הסביר על הבדלים בין פסנתר רגיל לאורגנית,9
240,אורגנית,אורגנ֫ית,הילדים ניגשו אחד אחד לנסות לנגן על האורגנית,10
